"COU","Country","VAR","Variable","YEA","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"NLD","Netherlands","PM_MOR","Mortality from exposure to outdoor PM2.5","1990","1990","1000000HAB","Per 1 000 000 inhabitants","0","Units",,,498.6167,,
"NLD","Netherlands","PM_MOR","Mortality from exposure to outdoor PM2.5","1991","1991","1000000HAB","Per 1 000 000 inhabitants","0","Units",,,492.8666,,
"NLD","Netherlands","PM_MOR","Mortality from exposure to outdoor PM2.5","1992","1992","1000000HAB","Per 1 000 000 inhabitants","0","Units",,,488.8417,,
"NLD","Netherlands","PM_MOR","Mortality from exposure to outdoor PM2.5","1993","1993","1000000HAB","Per 1 000 000 inhabitants","0","Units",,,505.2204,,
"NLD","Netherlands","PM_MOR","Mortality from exposure to outdoor PM2.5","1994","1994","1000000HAB","Per 1 000 000 inhabitants","0","Units",,,490.8966,,
"NLD","Netherlands","PM_MOR","Mortality from exposure to outdoor PM2.5","1995","1995","1000000HAB","Per 1 000 000 inhabitants","0","Units",,,489.5104,,
"NLD","Netherlands","PM_MOR","Mortality from exposure to outdoor PM2.5","1996","1996","1000000HAB","Per 1 000 000 inhabitants","0","Units",,,491.1064,,
"NLD","Netherlands","PM_MOR","Mortality from exposure to outdoor PM2.5","1997","1997","1000000HAB","Per 1 000 000 inhabitants","0","Units",,,482.384,,
"NLD","Netherlands","PM_MOR","Mortality from exposure to outdoor PM2.5","1998","1998","1000000HAB","Per 1 000 000 inhabitants","0","Units",,,479.2774,,
"NLD","Netherlands","PM_MOR","Mortality from exposure to outdoor PM2.5","1999","1999","1000000HAB","Per 1 000 000 inhabitants","0","Units",,,484.6128,,
"NLD","Netherlands","PM_MOR","Mortality from exposure to outdoor PM2.5","2000","2000","1000000HAB","Per 1 000 000 inhabitants","0","Units",,,481.0214,,
"NLD","Netherlands","PM_MOR","Mortality from exposure to outdoor PM2.5","2001","2001","1000000HAB","Per 1 000 000 inhabitants","0","Units",,,471.488,,
"NLD","Netherlands","PM_MOR","Mortality from exposure to outdoor PM2.5","2002","2002","1000000HAB","Per 1 000 000 inhabitants","0","Units",,,465.2798,,
"NLD","Netherlands","PM_MOR","Mortality from exposure to outdoor PM2.5","2003","2003","1000000HAB","Per 1 000 000 inhabitants","0","Units",,,456.3334,,
"NLD","Netherlands","PM_MOR","Mortality from exposure to outdoor PM2.5","2004","2004","1000000HAB","Per 1 000 000 inhabitants","0","Units",,,434.7151,,
"NLD","Netherlands","PM_MOR","Mortality from exposure to outdoor PM2.5","2005","2005","1000000HAB","Per 1 000 000 inhabitants","0","Units",,,419.9525,,
"NLD","Netherlands","PM_MOR","Mortality from exposure to outdoor PM2.5","2006","2006","1000000HAB","Per 1 000 000 inhabitants","0","Units",,,407.8589,,
"NLD","Netherlands","PM_MOR","Mortality from exposure to outdoor PM2.5","2007","2007","1000000HAB","Per 1 000 000 inhabitants","0","Units",,,396.4585,,
"NLD","Netherlands","PM_MOR","Mortality from exposure to outdoor PM2.5","2008","2008","1000000HAB","Per 1 000 000 inhabitants","0","Units",,,396.7515,,
"NLD","Netherlands","PM_MOR","Mortality from exposure to outdoor PM2.5","2009","2009","1000000HAB","Per 1 000 000 inhabitants","0","Units",,,390.0822,,
"NLD","Netherlands","PM_MOR","Mortality from exposure to outdoor PM2.5","2010","2010","1000000HAB","Per 1 000 000 inhabitants","0","Units",,,387.8466,,
"NLD","Netherlands","PM_MOR","Mortality from exposure to outdoor PM2.5","2011","2011","1000000HAB","Per 1 000 000 inhabitants","0","Units",,,382.354,,
